venueId,name,address,borough,postcode,lat,long,transport,access,babyChange,LiftAccess,buggyParking,BreastFeeding,bottleWarming,vendingMachine,stepFree,refreshments
7,Bickley Primary School,Nightingale Road Bickley,Southwark,BR1 2BT,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Etheldred Day Centre,92 Florence Road,Southwark,SE15 6XX,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,PlayBus,All over,Southwark,X,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Martha Biggles House,18 Priory Road Southwark,Southwark,SE15 6XX,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,The Grove Children and Family Centre,Tower Mill Road,Southwark,SE15 6BP,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Albrighton Community Centre,Albrighton Road East Dulwich Estate,Southwark,SE22 8AH,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Bessemer Grange Children's Centre,Dylways,Southwark,SE5 8HP,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Coin Street family and children's centre (Borough),108 Stamford Street,Southwark,SE1 9NH,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,First Floor Canada Water Library ,21 Surrey Quays Road,Southwark,SE16 7AR,0,0,Canada Water Tube Station. Buses 1 47 188 199 225 381 C10 P12,Opposite Canada Water Tube Station. ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,Rotherhithe Children and Family Centre  ,Southwark Park Hawkstone Road,Southwark,SE16 2PF! ,0,0,Surrey Quays Tube Station and South Bermondsey Station. Buses; 1 and 381,Just a short walk from Surrey Quays ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
