venueId,name,address,borough,postcode,lat,long,transport,access,babyChange,LiftAccess,buggyParking,BreastFeeding,bottleWarming,vendingMachine,stepFree,refreshments
7,Bickley Primary School,Nightingale Road Bickley,Southwark,BR1 2BT,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Etheldred Day Centre,92 Florence Road,Southwark,SE15 6XX,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,PlayBus,All over,Southwark,X,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Martha Biggles House,18 Priory Road Southwark,Southwark,SE15 6XX,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,The Grove Children and Family Centre,Tower Mill Road,Southwark,SE15 6BP,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Albrighton Community Centre,Albrighton Road East Dulwich Estate,Southwark,SE22 8AH,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Bessemer Grange Children's Centre,Dylways,Southwark,SE5 8HP,0,0,n.a,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Coin Street family and children's centre (Borough),108 Stamford Street,Southwark,SE1 9NH,0,0,n.a,n.a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
105,First Floor Canada Water Library ,21 Surrey Quays Road,Southwark,SE16 7AR,51.497672,-0.04908,Canada Water Tube Station. Buses 1 47 188 199 225 381 C10 P12,Opposite Canada Water Tube Station. ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
106,Rotherhithe Children and Family Centre  ,Southwark Park Hawkstone Road,Southwark,SE16 2PF ,51.492415,-0.049956,Surrey Quays Tube Station and South Bermondsey Station. Buses; 1 and 381,Just a short walk from Surrey Quays ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
107,Pilgrims Way Childrens Centre,Manor Grove Tustin Estate,Southwark,SE15 1EF,51.480533,-0.055854,Buses: 21 53 172 453 P12,Pilgrims Way Childrens Centre is located alongside Pilgrims Way Primary School just behind Tustin Estate off Old Kent Road.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
108,Southwark Park Playroom,Hawkstone Road,Southwark,SE16 ,51.492415,-0.049956,Buses: ,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,Rotherhithe Children and Family Centre,Southwark Park Hawkstone Road,Southwark, SE16 2PF,51.492415,-0.049956,Buses: ,n.a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,South Bermondsey Children's Centre,Tenda Road,Southwark,SE16 3PN,51.4904,-0.062606,Buses: 1  381  P12,Centre is easily located on Tenda Road just off Roseberry Street,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
111,Ellen Brown Play Centre,Spa Park  Grange Road,Southwark,SE1 3EB,51.494877,-0.073832,Buses: 1  78,Centre is opposite Boutcher Primary School,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
112,Salmon Centre,43 Jamaica Road,Southwark,SE16 4TE,51.497228,-0.069712,Buses: 47 188 381 C10,n.a,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
113,Blue Anchor Library,Market Place  Southwark Park Road,Southwark,SE16 3UQ,51.492926,-0.064104,Buses: 1 P12 381,Located in the far corner of St James Square,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
